interaction_id,DRUG_NAME,TARGET_NAME,TARGET_CLASS,ACTION_TYPE,interaction_text
2016,cetrorelix,gonadotropin-releasing hormone receptor,gpcr,ANTAGONIST,Drug: cetrorelix | Target: gonadotropin-releasing hormone receptor | Type: gpcr | Action: ANTAGONIST
2017,cevimeline,muscarinic acetylcholine receptor m1,gpcr,AGONIST,Drug: cevimeline | Target: muscarinic acetylcholine receptor m1 | Type: gpcr | Action: AGONIST
2018,cevimeline,muscarinic acetylcholine receptor m2,gpcr,,Drug: cevimeline | Target: muscarinic acetylcholine receptor m2 | Type: gpcr | Action: nan
2019,cevimeline,muscarinic acetylcholine receptor m3,gpcr,AGONIST,Drug: cevimeline | Target: muscarinic acetylcholine receptor m3 | Type: gpcr | Action: AGONIST
2020,cevimeline,muscarinic acetylcholine receptor m4,gpcr,,Drug: cevimeline | Target: muscarinic acetylcholine receptor m4 | Type: gpcr | Action: nan
2021,cevimeline,muscarinic acetylcholine receptor m5,gpcr,,Drug: cevimeline | Target: muscarinic acetylcholine receptor m5 | Type: gpcr | Action: nan
2022,chlorambucil,delta-type opioid receptor,gpcr,,Drug: chlorambucil | Target: delta-type opioid receptor | Type: gpcr | Action: nan
2023,chlorambucil,cathepsin d,enzyme,,Drug: chlorambucil | Target: cathepsin d | Type: enzyme | Action: nan
2024,chlorambucil,aldose reductase,enzyme,,Drug: chlorambucil | Target: aldose reductase | Type: enzyme | Action: nan
2025,chlorambucil,cathepsin e,enzyme,,Drug: chlorambucil | Target: cathepsin e | Type: enzyme | Action: nan
2026,chlorambucil,disintegrin and metalloproteinase domain-containing protein 9,enzyme,,Drug: chlorambucil | Target: disintegrin and metalloproteinase domain-containing protein 9 | Type: enzyme | Action: nan
2027,chloramphenicol,cytochrome p450 3a4,enzyme,,Drug: chloramphenicol | Target: cytochrome p450 3a4 | Type: enzyme | Action: nan
2028,chloramphenicol,chloramphenicol acetyltransferase,enzyme,,Drug: chloramphenicol | Target: chloramphenicol acetyltransferase | Type: enzyme | Action: nan
2029,chloramphenicol,streptokinase a,enzyme,,Drug: chloramphenicol | Target: streptokinase a | Type: enzyme | Action: nan
2030,chloramphenicol,probable hth-type transcriptional regulator ttgr,unclassified,,Drug: chloramphenicol | Target: probable hth-type transcriptional regulator ttgr | Type: unclassified | Action: nan
2031,chlorcyclizine,apoptosis regulator bcl-2,cytosolic other,,Drug: chlorcyclizine | Target: apoptosis regulator bcl-2 | Type: cytosolic other | Action: nan
2032,chlordiazepoxide,histamine h1 receptor,gpcr,,Drug: chlordiazepoxide | Target: histamine h1 receptor | Type: gpcr | Action: nan
2033,chlordiazepoxide,thyrotropin-releasing hormone receptor,gpcr,,Drug: chlordiazepoxide | Target: thyrotropin-releasing hormone receptor | Type: gpcr | Action: nan
2034,chlordiazepoxide,acetylcholinesterase,enzyme,,Drug: chlordiazepoxide | Target: acetylcholinesterase | Type: enzyme | Action: nan
2035,chlordiazepoxide,translocator protein,membrane receptor,,Drug: chlordiazepoxide | Target: translocator protein | Type: membrane receptor | Action: nan
2036,chlordiazepoxide,thyrotropin-releasing hormone receptor,gpcr,ANTAGONIST,Drug: chlordiazepoxide | Target: thyrotropin-releasing hormone receptor | Type: gpcr | Action: ANTAGONIST
2037,chlordiazepoxide,cholinesterase,enzyme,,Drug: chlordiazepoxide | Target: cholinesterase | Type: enzyme | Action: nan
2038,chlordiazepoxide,thyrotropin-releasing hormone receptor,gpcr,ANTAGONIST,Drug: chlordiazepoxide | Target: thyrotropin-releasing hormone receptor | Type: gpcr | Action: ANTAGONIST
2039,chlordiazepoxide,gaba-a receptor alpha-1/beta-2/gamma-2,ion channel,POSITIVE ALLOSTERIC MODULATOR,Drug: chlordiazepoxide | Target: gaba-a receptor alpha-1/beta-2/gamma-2 | Type: ion channel | Action: POSITIVE ALLOSTERIC MODULATOR
2040,chlordiazepoxide,gaba-a receptor alpha-2/beta-3/gamma-2,ion channel,POSITIVE ALLOSTERIC MODULATOR,Drug: chlordiazepoxide | Target: gaba-a receptor alpha-2/beta-3/gamma-2 | Type: ion channel | Action: POSITIVE ALLOSTERIC MODULATOR
2041,chlordiazepoxide,gaba-a receptor alpha-3/beta-3/gamma-2,ion channel,POSITIVE ALLOSTERIC MODULATOR,Drug: chlordiazepoxide | Target: gaba-a receptor alpha-3/beta-3/gamma-2 | Type: ion channel | Action: POSITIVE ALLOSTERIC MODULATOR
2042,chlordiazepoxide,gaba-a receptor alpha-5/beta-3/gamma-2,ion channel,POSITIVE ALLOSTERIC MODULATOR,Drug: chlordiazepoxide | Target: gaba-a receptor alpha-5/beta-3/gamma-2 | Type: ion channel | Action: POSITIVE ALLOSTERIC MODULATOR
2043,chlordiazepoxide,gaba-a receptor alpha-1/beta-3/gamma-2,ion channel,,Drug: chlordiazepoxide | Target: gaba-a receptor alpha-1/beta-3/gamma-2 | Type: ion channel | Action: nan
2044,chlordiazepoxide,gaba-a receptor; anion channel,ion channel,,Drug: chlordiazepoxide | Target: gaba-a receptor; anion channel | Type: ion channel | Action: nan
2045,chlordiazepoxide,gaba-a receptor; anion channel,ion channel,,Drug: chlordiazepoxide | Target: gaba-a receptor; anion channel | Type: ion channel | Action: nan
2046,chlordiazepoxide,cholecystokinin receptor,gpcr,,Drug: chlordiazepoxide | Target: cholecystokinin receptor | Type: gpcr | Action: nan
2047,chlordiazepoxide,cholecystokinin receptor,gpcr,,Drug: chlordiazepoxide | Target: cholecystokinin receptor | Type: gpcr | Action: nan
2048,chlorhexidine,72 kda type iv collagenase,enzyme,,Drug: chlorhexidine | Target: 72 kda type iv collagenase | Type: enzyme | Action: nan
2049,chlorhexidine,matrix metalloproteinase-9,enzyme,,Drug: chlorhexidine | Target: matrix metalloproteinase-9 | Type: enzyme | Action: nan
2050,chlorhexidine,solute carrier family 22 member 1,transporter,,Drug: chlorhexidine | Target: solute carrier family 22 member 1 | Type: transporter | Action: nan
2051,chlorhexidine,trypanothione reductase,enzyme,,Drug: chlorhexidine | Target: trypanothione reductase | Type: enzyme | Action: nan
2052,chlorhexidine,solute carrier family 22 member 2,transporter,,Drug: chlorhexidine | Target: solute carrier family 22 member 2 | Type: transporter | Action: nan
2053,chlorhexidine,multidrug and toxin extrusion protein 1,transporter,,Drug: chlorhexidine | Target: multidrug and toxin extrusion protein 1 | Type: transporter | Action: nan
2054,chlorhexidine,multidrug and toxin extrusion protein 2,transporter,,Drug: chlorhexidine | Target: multidrug and toxin extrusion protein 2 | Type: transporter | Action: nan
2055,chlorhexidine,solute carrier family 22 member 3,transporter,,Drug: chlorhexidine | Target: solute carrier family 22 member 3 | Type: transporter | Action: nan
2056,chlorhexidine,caax prenyl protease 2,enzyme,,Drug: chlorhexidine | Target: caax prenyl protease 2 | Type: enzyme | Action: nan
2057,chlorhexidine,synaptojanin-2,enzyme,,Drug: chlorhexidine | Target: synaptojanin-2 | Type: enzyme | Action: nan
2058,chlormadinone,sodium/potassium-transporting atpase subunit alpha-2,ion channel,,Drug: chlormadinone | Target: sodium/potassium-transporting atpase subunit alpha-2 | Type: ion channel | Action: nan
2059,chlormadinone,glucocorticoid receptor,nuclear hormone receptor,,Drug: chlormadinone | Target: glucocorticoid receptor | Type: nuclear hormone receptor | Action: nan
2060,chlormadinone,cytochrome p450 2c19,enzyme,,Drug: chlormadinone | Target: cytochrome p450 2c19 | Type: enzyme | Action: nan
2061,chlormadinone,androgen receptor,transcription factor,,Drug: chlormadinone | Target: androgen receptor | Type: transcription factor | Action: nan
2062,chlormadinone,progesterone receptor,transcription factor,,Drug: chlormadinone | Target: progesterone receptor | Type: transcription factor | Action: nan
2063,clomethiazole,gaba-a receptor alpha-1/beta-3/gamma-2,ion channel,,Drug: clomethiazole | Target: gaba-a receptor alpha-1/beta-3/gamma-2 | Type: ion channel | Action: nan
2064,chloroprocaine,sodium channel protein type 10 subunit alpha,ion channel,BLOCKER,Drug: chloroprocaine | Target: sodium channel protein type 10 subunit alpha | Type: ion channel | Action: BLOCKER
2065,chloropyramine,focal adhesion kinase 1,kinase,,Drug: chloropyramine | Target: focal adhesion kinase 1 | Type: kinase | Action: nan
2066,chloroquine,alpha-2a adrenergic receptor,gpcr,,Drug: chloroquine | Target: alpha-2a adrenergic receptor | Type: gpcr | Action: nan
2067,chloroquine,sigma non-opioid intracellular receptor 1,membrane receptor,,Drug: chloroquine | Target: sigma non-opioid intracellular receptor 1 | Type: membrane receptor | Action: nan
2068,chloroquine,potassium voltage-gated channel subfamily h member 2,ion channel,,Drug: chloroquine | Target: potassium voltage-gated channel subfamily h member 2 | Type: ion channel | Action: nan
2069,chloroquine,alpha-2b adrenergic receptor,gpcr,,Drug: chloroquine | Target: alpha-2b adrenergic receptor | Type: gpcr | Action: nan
2070,chloroquine,muscarinic acetylcholine receptor m1,gpcr,,Drug: chloroquine | Target: muscarinic acetylcholine receptor m1 | Type: gpcr | Action: nan
2071,chloroquine,muscarinic acetylcholine receptor m2,gpcr,,Drug: chloroquine | Target: muscarinic acetylcholine receptor m2 | Type: gpcr | Action: nan
2072,chloroquine,muscarinic acetylcholine receptor m3,gpcr,,Drug: chloroquine | Target: muscarinic acetylcholine receptor m3 | Type: gpcr | Action: nan
2073,chloroquine,muscarinic acetylcholine receptor m4,gpcr,,Drug: chloroquine | Target: muscarinic acetylcholine receptor m4 | Type: gpcr | Action: nan
2074,chloroquine,muscarinic acetylcholine receptor m5,gpcr,,Drug: chloroquine | Target: muscarinic acetylcholine receptor m5 | Type: gpcr | Action: nan
2075,chloroquine,alpha-2c adrenergic receptor,gpcr,,Drug: chloroquine | Target: alpha-2c adrenergic receptor | Type: gpcr | Action: nan
2076,chloroquine,ribosyldihydronicotinamide dehydrogenase [quinone],enzyme,,Drug: chloroquine | Target: ribosyldihydronicotinamide dehydrogenase [quinone] | Type: enzyme | Action: nan
2077,chloroquine,beta-secretase 1,enzyme,,Drug: chloroquine | Target: beta-secretase 1 | Type: enzyme | Action: nan
2078,chloroquine,major prion protein,surface antigen,,Drug: chloroquine | Target: major prion protein | Type: surface antigen | Action: nan
2079,chloroquine,histidine-rich protein pfhrp-ii,cytosolic other,,Drug: chloroquine | Target: histidine-rich protein pfhrp-ii | Type: cytosolic other | Action: nan
2080,chloroquine,riboflavin-binding protein,unclassified,,Drug: chloroquine | Target: riboflavin-binding protein | Type: unclassified | Action: nan
2081,chloroquine,dihydrofolate reductase,enzyme,,Drug: chloroquine | Target: dihydrofolate reductase | Type: enzyme | Action: nan
2082,chloroquine,amyloid beta a4 protein,unclassified,,Drug: chloroquine | Target: amyloid beta a4 protein | Type: unclassified | Action: nan
2083,chloroquine,transmembrane protein 97,enzyme,,Drug: chloroquine | Target: transmembrane protein 97 | Type: enzyme | Action: nan
2084,chloroquine,cysteine proteinase falcipain 2a,enzyme,,Drug: chloroquine | Target: cysteine proteinase falcipain 2a | Type: enzyme | Action: nan
2085,chlorothiazide,carbonic anhydrase 2,enzyme,,Drug: chlorothiazide | Target: carbonic anhydrase 2 | Type: enzyme | Action: nan
2086,chlorothiazide,solute carrier family 12 member 3,transporter,INHIBITOR,Drug: chlorothiazide | Target: solute carrier family 12 member 3 | Type: transporter | Action: INHIBITOR
2087,chlorotrianisene,estrogen receptor,nuclear hormone receptor,,Drug: chlorotrianisene | Target: estrogen receptor | Type: nuclear hormone receptor | Action: nan
2088,chlorotrianisene,estrogen receptor beta,nuclear hormone receptor,MODULATOR,Drug: chlorotrianisene | Target: estrogen receptor beta | Type: nuclear hormone receptor | Action: MODULATOR
2089,chloroxine,arachidonate 5-lipoxygenase,enzyme,,Drug: chloroxine | Target: arachidonate 5-lipoxygenase | Type: enzyme | Action: nan
2090,chloroxine,arachidonate 15-lipoxygenase,enzyme,,Drug: chloroxine | Target: arachidonate 15-lipoxygenase | Type: enzyme | Action: nan
2091,chloroxine,"arachidonate 12-lipoxygenase, 12s-type",enzyme,,"Drug: chloroxine | Target: arachidonate 12-lipoxygenase, 12s-type | Type: enzyme | Action: nan"
2092,chloroxine,botulinum neurotoxin type a,enzyme,,Drug: chloroxine | Target: botulinum neurotoxin type a | Type: enzyme | Action: nan
2093,chloroxine,"arachidonate 15-lipoxygenase, type ii",enzyme,,"Drug: chloroxine | Target: arachidonate 15-lipoxygenase, type ii | Type: enzyme | Action: nan"
2094,chlorphenamine,potassium voltage-gated channel subfamily h member 2,ion channel,,Drug: chlorphenamine | Target: potassium voltage-gated channel subfamily h member 2 | Type: ion channel | Action: nan
2095,chlorphenamine,sodium-dependent serotonin transporter,transporter,,Drug: chlorphenamine | Target: sodium-dependent serotonin transporter | Type: transporter | Action: nan
2096,chlorphenamine,5-hydroxytryptamine receptor 2b,gpcr,,Drug: chlorphenamine | Target: 5-hydroxytryptamine receptor 2b | Type: gpcr | Action: nan
2097,chlorphenamine,histamine h1 receptor,gpcr,ANTAGONIST,Drug: chlorphenamine | Target: histamine h1 receptor | Type: gpcr | Action: ANTAGONIST
2098,chlorphenamine,histamine h4 receptor,gpcr,,Drug: chlorphenamine | Target: histamine h4 receptor | Type: gpcr | Action: nan
2099,chlorphenamine,cytochrome p450 2d6,enzyme,,Drug: chlorphenamine | Target: cytochrome p450 2d6 | Type: enzyme | Action: nan
2100,chlorphenamine,histamine h1 receptor,gpcr,,Drug: chlorphenamine | Target: histamine h1 receptor | Type: gpcr | Action: nan
2101,chlorphenamine,histamine h1 receptor,gpcr,,Drug: chlorphenamine | Target: histamine h1 receptor | Type: gpcr | Action: nan
2102,chlorphenamine,"sodium channel alpha subunits; brain (types i, ii, iii)",ion channel,,"Drug: chlorphenamine | Target: sodium channel alpha subunits; brain (types i, ii, iii) | Type: ion channel | Action: nan"
2103,chlorphenamine,lethal(3)malignant brain tumor-like protein 1,unclassified,,Drug: chlorphenamine | Target: lethal(3)malignant brain tumor-like protein 1 | Type: unclassified | Action: nan
2104,chlorphenamine,lethal(3)malignant brain tumor-like protein 3,unclassified,,Drug: chlorphenamine | Target: lethal(3)malignant brain tumor-like protein 3 | Type: unclassified | Action: nan
2105,chlorphenamine,mbt domain-containing protein 1,unclassified,,Drug: chlorphenamine | Target: mbt domain-containing protein 1 | Type: unclassified | Action: nan
2106,chlorphenamine,chloroquine resistance transporter,transporter,,Drug: chlorphenamine | Target: chloroquine resistance transporter | Type: transporter | Action: nan
2107,chlorphenamine,sodium-dependent noradrenaline transporter,transporter,,Drug: chlorphenamine | Target: sodium-dependent noradrenaline transporter | Type: transporter | Action: nan
2108,chlorphenamine,sodium-dependent dopamine transporter,transporter,,Drug: chlorphenamine | Target: sodium-dependent dopamine transporter | Type: transporter | Action: nan
2109,chlorphentermine,sodium-dependent serotonin transporter,transporter,SUBSTRATE,Drug: chlorphentermine | Target: sodium-dependent serotonin transporter | Type: transporter | Action: SUBSTRATE
2110,chlorphentermine,sodium-dependent dopamine transporter,transporter,,Drug: chlorphentermine | Target: sodium-dependent dopamine transporter | Type: transporter | Action: nan
2111,chlorproethazine,d(2) dopamine receptor,gpcr,,Drug: chlorproethazine | Target: d(2) dopamine receptor | Type: gpcr | Action: nan
2112,chlorproethazine,d(3) dopamine receptor,gpcr,,Drug: chlorproethazine | Target: d(3) dopamine receptor | Type: gpcr | Action: nan
2113,chlorproethazine,d(4) dopamine receptor,gpcr,,Drug: chlorproethazine | Target: d(4) dopamine receptor | Type: gpcr | Action: nan
2114,chlorpromazine,mu-type opioid receptor,gpcr,,Drug: chlorpromazine | Target: mu-type opioid receptor | Type: gpcr | Action: nan
2115,chlorpromazine,d(1a) dopamine receptor,gpcr,,Drug: chlorpromazine | Target: d(1a) dopamine receptor | Type: gpcr | Action: nan
2116,chlorpromazine,d(2) dopamine receptor,gpcr,ANTAGONIST,Drug: chlorpromazine | Target: d(2) dopamine receptor | Type: gpcr | Action: ANTAGONIST
2117,chlorpromazine,alpha-2a adrenergic receptor,gpcr,,Drug: chlorpromazine | Target: alpha-2a adrenergic receptor | Type: gpcr | Action: nan
2118,chlorpromazine,sigma non-opioid intracellular receptor 1,membrane receptor,,Drug: chlorpromazine | Target: sigma non-opioid intracellular receptor 1 | Type: membrane receptor | Action: nan
2119,chlorpromazine,potassium voltage-gated channel subfamily h member 2,ion channel,,Drug: chlorpromazine | Target: potassium voltage-gated channel subfamily h member 2 | Type: ion channel | Action: nan
2120,chlorpromazine,multidrug resistance protein 1,transporter,,Drug: chlorpromazine | Target: multidrug resistance protein 1 | Type: transporter | Action: nan
2121,chlorpromazine,sodium-dependent serotonin transporter,transporter,,Drug: chlorpromazine | Target: sodium-dependent serotonin transporter | Type: transporter | Action: nan
2122,chlorpromazine,sodium-dependent noradrenaline transporter,transporter,,Drug: chlorpromazine | Target: sodium-dependent noradrenaline transporter | Type: transporter | Action: nan
2123,chlorpromazine,5-hydroxytryptamine receptor 1a,gpcr,,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 1a | Type: gpcr | Action: nan
2124,chlorpromazine,5-hydroxytryptamine receptor 2a,gpcr,ANTAGONIST,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 2a | Type: gpcr | Action: ANTAGONIST
2125,chlorpromazine,5-hydroxytryptamine receptor 2b,gpcr,,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 2b | Type: gpcr | Action: nan
2126,chlorpromazine,5-hydroxytryptamine receptor 2c,gpcr,,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 2c | Type: gpcr | Action: nan
2127,chlorpromazine,5-hydroxytryptamine receptor 6,gpcr,,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 6 | Type: gpcr | Action: nan
2128,chlorpromazine,5-hydroxytryptamine receptor 7,gpcr,,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 7 | Type: gpcr | Action: nan
2129,chlorpromazine,alpha-1a adrenergic receptor,gpcr,,Drug: chlorpromazine | Target: alpha-1a adrenergic receptor | Type: gpcr | Action: nan
2130,chlorpromazine,alpha-2b adrenergic receptor,gpcr,,Drug: chlorpromazine | Target: alpha-2b adrenergic receptor | Type: gpcr | Action: nan
2131,chlorpromazine,d(3) dopamine receptor,gpcr,ANTAGONIST,Drug: chlorpromazine | Target: d(3) dopamine receptor | Type: gpcr | Action: ANTAGONIST
2132,chlorpromazine,d(1b) dopamine receptor,gpcr,,Drug: chlorpromazine | Target: d(1b) dopamine receptor | Type: gpcr | Action: nan
2133,chlorpromazine,histamine h1 receptor,gpcr,,Drug: chlorpromazine | Target: histamine h1 receptor | Type: gpcr | Action: nan
2134,chlorpromazine,histamine h2 receptor,gpcr,,Drug: chlorpromazine | Target: histamine h2 receptor | Type: gpcr | Action: nan
2135,chlorpromazine,histamine h4 receptor,gpcr,,Drug: chlorpromazine | Target: histamine h4 receptor | Type: gpcr | Action: nan
2136,chlorpromazine,muscarinic acetylcholine receptor m1,gpcr,,Drug: chlorpromazine | Target: muscarinic acetylcholine receptor m1 | Type: gpcr | Action: nan
2137,chlorpromazine,muscarinic acetylcholine receptor m2,gpcr,,Drug: chlorpromazine | Target: muscarinic acetylcholine receptor m2 | Type: gpcr | Action: nan
2138,chlorpromazine,muscarinic acetylcholine receptor m3,gpcr,,Drug: chlorpromazine | Target: muscarinic acetylcholine receptor m3 | Type: gpcr | Action: nan
2139,chlorpromazine,muscarinic acetylcholine receptor m4,gpcr,,Drug: chlorpromazine | Target: muscarinic acetylcholine receptor m4 | Type: gpcr | Action: nan
2140,chlorpromazine,muscarinic acetylcholine receptor m5,gpcr,,Drug: chlorpromazine | Target: muscarinic acetylcholine receptor m5 | Type: gpcr | Action: nan
2141,chlorpromazine,aldehyde oxidase,enzyme,,Drug: chlorpromazine | Target: aldehyde oxidase | Type: enzyme | Action: nan
2142,chlorpromazine,5-hydroxytryptamine receptor 1b,gpcr,,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 1b | Type: gpcr | Action: nan
2143,chlorpromazine,5-hydroxytryptamine receptor 1d,gpcr,,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 1d | Type: gpcr | Action: nan
2144,chlorpromazine,alpha-2c adrenergic receptor,gpcr,,Drug: chlorpromazine | Target: alpha-2c adrenergic receptor | Type: gpcr | Action: nan
2145,chlorpromazine,sodium-dependent dopamine transporter,transporter,,Drug: chlorpromazine | Target: sodium-dependent dopamine transporter | Type: transporter | Action: nan
2146,chlorpromazine,cytochrome p450 2d6,enzyme,,Drug: chlorpromazine | Target: cytochrome p450 2d6 | Type: enzyme | Action: nan
2147,chlorpromazine,d(4) dopamine receptor,gpcr,ANTAGONIST,Drug: chlorpromazine | Target: d(4) dopamine receptor | Type: gpcr | Action: ANTAGONIST
2148,chlorpromazine,alpha-1d adrenergic receptor,gpcr,,Drug: chlorpromazine | Target: alpha-1d adrenergic receptor | Type: gpcr | Action: nan
2149,chlorpromazine,5-hydroxytryptamine receptor 3a,ion channel,,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 3a | Type: ion channel | Action: nan
2150,chlorpromazine,alpha-1b adrenergic receptor,gpcr,,Drug: chlorpromazine | Target: alpha-1b adrenergic receptor | Type: gpcr | Action: nan
2151,chlorpromazine,kappa-type opioid receptor,gpcr,,Drug: chlorpromazine | Target: kappa-type opioid receptor | Type: gpcr | Action: nan
2152,chlorpromazine,calmodulin,cytosolic other,,Drug: chlorpromazine | Target: calmodulin | Type: cytosolic other | Action: nan
2153,chlorpromazine,delta-type opioid receptor,gpcr,,Drug: chlorpromazine | Target: delta-type opioid receptor | Type: gpcr | Action: nan
2154,chlorpromazine,5-hydroxytryptamine receptor 5a,gpcr,,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 5a | Type: gpcr | Action: nan
2155,chlorpromazine,5-hydroxytryptamine receptor 1e,gpcr,,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 1e | Type: gpcr | Action: nan
2156,chlorpromazine,epidermal growth factor receptor,kinase,,Drug: chlorpromazine | Target: epidermal growth factor receptor | Type: kinase | Action: nan
2157,chlorpromazine,potassium channel subfamily k member 2,ion channel,,Drug: chlorpromazine | Target: potassium channel subfamily k member 2 | Type: ion channel | Action: nan
2158,chlorpromazine,tyrosine-protein kinase fyn,kinase,,Drug: chlorpromazine | Target: tyrosine-protein kinase fyn | Type: kinase | Action: nan
2159,chlorpromazine,receptor tyrosine-protein kinase erbb-2,kinase,,Drug: chlorpromazine | Target: receptor tyrosine-protein kinase erbb-2 | Type: kinase | Action: nan
2160,chlorpromazine,ryanodine receptor 1,ion channel,,Drug: chlorpromazine | Target: ryanodine receptor 1 | Type: ion channel | Action: nan
2161,chlorpromazine,major prion protein,surface antigen,,Drug: chlorpromazine | Target: major prion protein | Type: surface antigen | Action: nan
2162,chlorpromazine,solute carrier family 22 member 1,transporter,,Drug: chlorpromazine | Target: solute carrier family 22 member 1 | Type: transporter | Action: nan
2163,chlorpromazine,substance-k receptor,gpcr,,Drug: chlorpromazine | Target: substance-k receptor | Type: gpcr | Action: nan
2164,chlorpromazine,trypanothione reductase,enzyme,,Drug: chlorpromazine | Target: trypanothione reductase | Type: enzyme | Action: nan
2165,chlorpromazine,arachidonate 15-lipoxygenase,enzyme,,Drug: chlorpromazine | Target: arachidonate 15-lipoxygenase | Type: enzyme | Action: nan
2166,chlorpromazine,alpha-1b adrenergic receptor,gpcr,,Drug: chlorpromazine | Target: alpha-1b adrenergic receptor | Type: gpcr | Action: nan
2167,chlorpromazine,5-hydroxytryptamine receptor 1b,gpcr,,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 1b | Type: gpcr | Action: nan
2168,chlorpromazine,melanocortin receptor 4,gpcr,,Drug: chlorpromazine | Target: melanocortin receptor 4 | Type: gpcr | Action: nan
2169,chlorpromazine,melanocortin receptor 5,gpcr,,Drug: chlorpromazine | Target: melanocortin receptor 5 | Type: gpcr | Action: nan
2170,chlorpromazine,melanocortin receptor 3,gpcr,,Drug: chlorpromazine | Target: melanocortin receptor 3 | Type: gpcr | Action: nan
2171,chlorpromazine,membrane-associated progesterone receptor component 1,membrane receptor,,Drug: chlorpromazine | Target: membrane-associated progesterone receptor component 1 | Type: membrane receptor | Action: nan
2172,chlorpromazine,alpha-1a adrenergic receptor,gpcr,,Drug: chlorpromazine | Target: alpha-1a adrenergic receptor | Type: gpcr | Action: nan
2173,chlorpromazine,histamine h1 receptor,gpcr,,Drug: chlorpromazine | Target: histamine h1 receptor | Type: gpcr | Action: nan
2174,chlorpromazine,d(2) dopamine receptor,gpcr,,Drug: chlorpromazine | Target: d(2) dopamine receptor | Type: gpcr | Action: nan
2175,chlorpromazine,5-hydroxytryptamine receptor 1a,gpcr,,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 1a | Type: gpcr | Action: nan
2176,chlorpromazine,5-hydroxytryptamine receptor 7,gpcr,,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 7 | Type: gpcr | Action: nan
2177,chlorpromazine,5-hydroxytryptamine receptor 7,gpcr,ANTAGONIST,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 7 | Type: gpcr | Action: ANTAGONIST
2178,chlorpromazine,d(1a) dopamine receptor,gpcr,,Drug: chlorpromazine | Target: d(1a) dopamine receptor | Type: gpcr | Action: nan
2179,chlorpromazine,d(2) dopamine receptor,gpcr,,Drug: chlorpromazine | Target: d(2) dopamine receptor | Type: gpcr | Action: nan
2180,chlorpromazine,transient receptor potential cation channel subfamily v member 1,ion channel,,Drug: chlorpromazine | Target: transient receptor potential cation channel subfamily v member 1 | Type: ion channel | Action: nan
2181,chlorpromazine,5-hydroxytryptamine receptor 6,gpcr,ANTAGONIST,Drug: chlorpromazine | Target: 5-hydroxytryptamine receptor 6 | Type: gpcr | Action: ANTAGONIST
2182,chlorpromazine,pleiotropic abc efflux transporter of multiple drugs,transporter,,Drug: chlorpromazine | Target: pleiotropic abc efflux transporter of multiple drugs | Type: transporter | Action: nan
2183,chlorpromazine,solute carrier family 22 member 2,transporter,,Drug: chlorpromazine | Target: solute carrier family 22 member 2 | Type: transporter | Action: nan
2184,chlorpromazine,acetylcholine receptor subunit alpha,ion channel,,Drug: chlorpromazine | Target: acetylcholine receptor subunit alpha | Type: ion channel | Action: nan
2185,chlorpromazine,glutamate [nmda] receptor,ion channel,,Drug: chlorpromazine | Target: glutamate [nmda] receptor | Type: ion channel | Action: nan
2186,chlorpromazine,glutamate nmda receptor,ion channel,,Drug: chlorpromazine | Target: glutamate nmda receptor | Type: ion channel | Action: nan
2187,chlorpromazine,muscarinic acetylcholine receptor,gpcr,,Drug: chlorpromazine | Target: muscarinic acetylcholine receptor | Type: gpcr | Action: nan
2188,chlorpromazine,dopamine receptor,gpcr,,Drug: chlorpromazine | Target: dopamine receptor | Type: gpcr | Action: nan
2189,chlorpromazine,dopamine receptor,gpcr,,Drug: chlorpromazine | Target: dopamine receptor | Type: gpcr | Action: nan
2190,chlorpromazine,"sodium channel alpha subunits; brain (types i, ii, iii)",ion channel,,"Drug: chlorpromazine | Target: sodium channel alpha subunits; brain (types i, ii, iii) | Type: ion channel | Action: nan"
2191,chlorpromazine,serotonin 2 (5-ht2) receptor,gpcr,,Drug: chlorpromazine | Target: serotonin 2 (5-ht2) receptor | Type: gpcr | Action: nan
2192,chlorpromazine,adenylate cyclase,enzyme,,Drug: chlorpromazine | Target: adenylate cyclase | Type: enzyme | Action: nan
2193,chlorpromazine,fad-linked sulfhydryl oxidase alr,enzyme,,Drug: chlorpromazine | Target: fad-linked sulfhydryl oxidase alr | Type: enzyme | Action: nan
2194,chlorpromazine,calmodulin,cytosolic other,,Drug: chlorpromazine | Target: calmodulin | Type: cytosolic other | Action: nan
2195,chlorpromazine,major prion protein,unclassified,,Drug: chlorpromazine | Target: major prion protein | Type: unclassified | Action: nan
